dataset,fold,model,r2,rmse,mae
full_data,0,LightGBM,0.696841656804305,3.2250821258586075,2.335618023829212
full_data,0,ExtraTrees,0.6905493829702304,3.258379707128889,2.3694021993681185
full_data,0,RandomForest,0.7008079150996673,3.2039155916138524,2.3039837746202934
full_data,0,XGBoost,0.7191137598807513,3.1043540625671198,2.2487589395629857
full_data,0,CatBoost,0.6961024165849171,3.2290118524357667,2.367788795726632
full_data,1,LightGBM,0.6760231353727905,3.33676330340914,2.4174862688884677
full_data,1,ExtraTrees,0.6647025284338448,3.394560402174035,2.505947838765349
full_data,1,RandomForest,0.6591981943973011,3.4223099907091576,2.4347953425163955
full_data,1,XGBoost,0.6883340235709281,3.2727520137650257,2.342551235930245
full_data,1,CatBoost,0.6727592845192015,3.3535290158938005,2.470346800673762
full_data,2,LightGBM,0.6651344522730294,3.4163605837972515,2.4273469661672387
full_data,2,ExtraTrees,0.6233794943463871,3.623101073133758,2.605960065563811
full_data,2,RandomForest,0.6584379622695704,3.450350912237916,2.4542486315154197
full_data,2,XGBoost,0.6882006628213687,3.296598543486092,2.3398597784339388
full_data,2,CatBoost,0.64023316585377,3.5411068452299346,2.527713152840043
full_data,3,LightGBM,0.7246710248331025,2.9948455968825547,2.197811693992514
full_data,3,ExtraTrees,0.7070157558666813,3.0893748769006915,2.2997088357391884
full_data,3,RandomForest,0.7237111798235581,3.0000613331256987,2.2132368277278625
full_data,3,XGBoost,0.7348820119439615,2.9387867644100747,2.157937556325116
full_data,3,CatBoost,0.7089712467953282,3.0790477708292565,2.264966868249863
full_data,4,LightGBM,0.6924899131992523,3.211376407916502,2.3369205380706526
full_data,4,ExtraTrees,0.6665126199813056,3.3442692184902163,2.4216215927646014
full_data,4,RandomForest,0.6930998931386217,3.20818976844314,2.3157449123445164
full_data,4,XGBoost,0.7016936302138581,3.1629533974302593,2.295979666035865
full_data,4,CatBoost,0.6892727141751807,3.2281315572446347,2.353334526651927
post_2022,0,LightGBM,0.696841656804305,3.2250821258586075,2.335618023829212
post_2022,0,ExtraTrees,0.6905493829702304,3.258379707128889,2.369402199368118
post_2022,0,RandomForest,0.7008079150996673,3.2039155916138524,2.3039837746202934
post_2022,0,XGBoost,0.7191137598807513,3.1043540625671198,2.2487589395629857
post_2022,0,CatBoost,0.6961024165849171,3.2290118524357667,2.367788795726632
post_2022,1,LightGBM,0.6760231353727905,3.33676330340914,2.4174862688884677
post_2022,1,ExtraTrees,0.6647025284338448,3.394560402174035,2.505947838765349
post_2022,1,RandomForest,0.6591981943973011,3.4223099907091576,2.434795342516395
post_2022,1,XGBoost,0.6883340235709281,3.2727520137650257,2.342551235930245
post_2022,1,CatBoost,0.6727592845192015,3.3535290158938005,2.470346800673762
post_2022,2,LightGBM,0.6651344522730294,3.4163605837972515,2.4273469661672387
post_2022,2,ExtraTrees,0.6233794943463871,3.623101073133758,2.605960065563811
post_2022,2,RandomForest,0.6584379622695705,3.450350912237916,2.4542486315154197
post_2022,2,XGBoost,0.6882006628213687,3.296598543486092,2.3398597784339388
post_2022,2,CatBoost,0.64023316585377,3.5411068452299346,2.527713152840043
post_2022,3,LightGBM,0.7246710248331025,2.9948455968825547,2.197811693992514
post_2022,3,ExtraTrees,0.7070157558666814,3.089374876900691,2.2997088357391884
post_2022,3,RandomForest,0.7237111798235581,3.0000613331256987,2.2132368277278625
post_2022,3,XGBoost,0.7348820119439615,2.9387867644100747,2.157937556325116
post_2022,3,CatBoost,0.7089712467953282,3.0790477708292565,2.264966868249863
post_2022,4,LightGBM,0.6924899131992523,3.211376407916502,2.3369205380706526
post_2022,4,ExtraTrees,0.6665126199813056,3.3442692184902163,2.4216215927646014
post_2022,4,RandomForest,0.6930998931386216,3.2081897684431406,2.3157449123445173
post_2022,4,XGBoost,0.7016936302138581,3.1629533974302593,2.295979666035865
post_2022,4,CatBoost,0.6892727141751807,3.2281315572446347,2.353334526651927
