feature_set,fold,model,r2,rmse,mae
original_106d,0,LightGBM,0.6863299606039843,3.2070967608732364,2.3232951632840395
original_106d,0,ExtraTrees,0.6589520401997317,3.3441309237246934,2.4241325687119937
original_106d,0,RandomForest,0.6852525463326609,3.2126000115619777,2.306649669845891
original_106d,0,XGBoost,0.6977384508530444,3.1482339347417194,2.2294260371774897
original_106d,0,CatBoost,0.6773181471727578,3.252840847080921,2.3575350126081234
original_106d,1,LightGBM,0.7155167581470017,3.1482163676944337,2.3157457621354047
original_106d,1,ExtraTrees,0.6873757253385298,3.3002556016604467,2.4645228946551345
original_106d,1,RandomForest,0.7023430366453287,3.2202845746888826,2.3861296719283005
original_106d,1,XGBoost,0.7304461959301675,3.0644953091469542,2.245226064403102
original_106d,1,CatBoost,0.6937481540166559,3.2664467743635277,2.4415766692838226
original_106d,2,LightGBM,0.6954188834539068,3.211173302258617,2.327156711851961
original_106d,2,ExtraTrees,0.6846267315730468,3.267568470005157,2.380831296592269
original_106d,2,RandomForest,0.6921184173502618,3.228524693031876,2.347212060497933
original_106d,2,XGBoost,0.7045597279301339,3.1626206662593406,2.278643637763831
original_106d,2,CatBoost,0.6750242637556619,3.3169408381696557,2.4129166169474896
original_106d,3,LightGBM,0.7067516915186512,3.1594555053838174,2.2913523086785688
original_106d,3,ExtraTrees,0.6817575629210597,3.291345939247743,2.413235903997959
original_106d,3,RandomForest,0.6939522822371057,3.2276694999055353,2.315688899681466
original_106d,3,XGBoost,0.730087998513971,3.0311371234537146,2.203153227367815
original_106d,3,CatBoost,0.6897673644921258,3.249662260978134,2.405953962714543
original_106d,4,LightGBM,0.7189258204278581,3.0996293681425895,2.22749776388472
original_106d,4,ExtraTrees,0.6967829553390823,3.2194085750912835,2.3321707529491946
original_106d,4,RandomForest,0.7224223151347857,3.0802897155285813,2.2437546325567856
original_106d,4,XGBoost,0.7291579025447936,3.042687675872376,2.218552774314541
original_106d,4,CatBoost,0.7185999255962436,3.101425798810112,2.255284547032043
original_LSTM_234d,0,LightGBM,0.7749834971327478,2.7163312456378526,1.9558684882854196
original_LSTM_234d,0,ExtraTrees,0.76519277300804,2.7747973672437256,2.034697025012112
original_LSTM_234d,0,RandomForest,0.7366188291669746,2.938785618669737,2.133152268584202
original_LSTM_234d,0,XGBoost,0.7486486113124531,2.8708875930285043,2.044766102937119
original_LSTM_234d,0,CatBoost,0.7783318456284037,2.696045371259994,1.9566539763521082
original_LSTM_234d,1,LightGBM,0.8106905464961092,2.568161784713249,1.88896067153492
original_LSTM_234d,1,ExtraTrees,0.7842885361823139,2.7414027323564056,2.0172272009740366
original_LSTM_234d,1,RandomForest,0.769443210408634,2.8341653647922276,2.050159174710086
original_LSTM_234d,1,XGBoost,0.8015329450157485,2.629543992440523,1.89339666997628
original_LSTM_234d,1,CatBoost,0.8043003749190547,2.6111464174769994,1.900556352429212
original_LSTM_234d,2,LightGBM,0.7898724074221986,2.6671890508684215,1.8793213331912955
original_LSTM_234d,2,ExtraTrees,0.7778772861417765,2.7422607188601322,1.9616924181879785
original_LSTM_234d,2,RandomForest,0.7677556455905759,2.8040441026320404,1.989647042793954
original_LSTM_234d,2,XGBoost,0.7781859704934957,2.740354593963484,1.9186725183544224
original_LSTM_234d,2,CatBoost,0.7833626654942434,2.708188620990611,1.9065626082239209
original_LSTM_234d,3,LightGBM,0.8040071545676344,2.5829416465069106,1.9267615755317715
original_LSTM_234d,3,ExtraTrees,0.7805226745323808,2.733312675513821,2.036002246533826
original_LSTM_234d,3,RandomForest,0.7757245567734138,2.763028391553631,2.07096438018773
original_LSTM_234d,3,XGBoost,0.7848580531712146,2.7061821982882397,2.000672578359313
original_LSTM_234d,3,CatBoost,0.8027911908401537,2.590941701248629,1.9409275913414499
original_LSTM_234d,4,LightGBM,0.8154751353313252,2.511462737724897,1.8793214408399581
original_LSTM_234d,4,ExtraTrees,0.791193424638952,2.6715996414547516,2.003167942334113
original_LSTM_234d,4,RandomForest,0.7801539343390012,2.74131309200249,2.035415210703162
original_LSTM_234d,4,XGBoost,0.7952579451235695,2.6454698730254265,1.9717495255468152
original_LSTM_234d,4,CatBoost,0.8111136181284758,2.540970453576209,1.9111995382606344
original_Transformer_234d,0,LightGBM,0.8864852980755542,1.9293081569615034,1.2777759391666703
original_Transformer_234d,0,ExtraTrees,0.878088372207112,1.999392731600829,1.3287839209971228
original_Transformer_234d,0,RandomForest,0.8631213215684786,2.118573060943801,1.3983333735679992
original_Transformer_234d,0,XGBoost,0.869288709094597,2.0702943448094686,1.3751337054629018
original_Transformer_234d,0,CatBoost,0.8902525353139596,1.8970238545244769,1.2583749184544955
original_Transformer_234d,1,LightGBM,0.9054307269603891,1.8151447071506923,1.269259155639391
original_Transformer_234d,1,ExtraTrees,0.8967849632770601,1.8963029210514308,1.3013328156487192
original_Transformer_234d,1,RandomForest,0.8877760629259939,1.9773291948066203,1.3763025117216363
original_Transformer_234d,1,XGBoost,0.8923883373795019,1.9362699212355725,1.3466559425161735
original_Transformer_234d,1,CatBoost,0.899278248645081,1.8732591503022402,1.311389681830822
original_Transformer_234d,2,LightGBM,0.8857717759063151,1.9665227259634939,1.3317213479101486
original_Transformer_234d,2,ExtraTrees,0.8779753679991205,2.0325255354833156,1.3460516926727923
original_Transformer_234d,2,RandomForest,0.8678871703863243,2.1148752484702125,1.3992210180992701
original_Transformer_234d,2,XGBoost,0.8703833025462364,2.0948008096810913,1.3884080882833054
original_Transformer_234d,2,CatBoost,0.8790285960653978,2.0237348830648885,1.3342441835977248
original_Transformer_234d,3,LightGBM,0.9064625796879789,1.784379313791038,1.262436061534599
original_Transformer_234d,3,ExtraTrees,0.8963254503301826,1.8785837639085186,1.30071527788575
original_Transformer_234d,3,RandomForest,0.8920692788795733,1.9167568548792013,1.3416041348204812
original_Transformer_234d,3,XGBoost,0.8944758121932812,1.89526741018826,1.3202227393934804
original_Transformer_234d,3,CatBoost,0.9057692760805435,1.7909800553794384,1.2733888157689974
original_Transformer_234d,4,LightGBM,0.9026677942644028,1.824011507598885,1.2277861234666347
original_Transformer_234d,4,ExtraTrees,0.886871620310246,1.9664598092073922,1.2970884800703963
original_Transformer_234d,4,RandomForest,0.8770656224209111,2.0499155250385903,1.3452072661310273
original_Transformer_234d,4,XGBoost,0.8855795746613271,1.9776574523268664,1.3061610653501732
original_Transformer_234d,4,CatBoost,0.8966343019566896,1.8796955451001713,1.2561300940867803
original_GRU_234d,0,LightGBM,0.8547040793832983,2.1827412425841124,1.5738204074428257
original_GRU_234d,0,ExtraTrees,0.8538923445883082,2.1888299862561196,1.5802595928533534
original_GRU_234d,0,RandomForest,0.8414526537916682,2.280105974163448,1.6286519576122398
original_GRU_234d,0,XGBoost,0.8473430344054794,2.2373496311336942,1.5867707155297441
original_GRU_234d,0,CatBoost,0.8559613529088252,2.1732768841348062,1.5639414794936266
original_GRU_234d,1,LightGBM,0.8525638621085938,2.2664085573883987,1.640546043887428
original_GRU_234d,1,ExtraTrees,0.8556214519835796,2.24278458915527,1.6558863484199626
original_GRU_234d,1,RandomForest,0.8554051897584468,2.2444636754837837,1.6649065980593478
original_GRU_234d,1,XGBoost,0.8516513364060014,2.2734114735287743,1.6727102523062365
original_GRU_234d,1,CatBoost,0.8563593791387856,2.2370457456389614,1.658577877430587
original_GRU_234d,2,LightGBM,0.8604548249278283,2.1735501730832167,1.553982109086715
original_GRU_234d,2,ExtraTrees,0.8528978523031298,2.2316278055312346,1.5919032138167826
original_GRU_234d,2,RandomForest,0.8485849586776524,2.264106059006252,1.6000411723587986
original_GRU_234d,2,XGBoost,0.8455431681911527,2.286734891845204,1.5811588259986564
original_GRU_234d,2,CatBoost,0.8573477211781152,2.1976150170642685,1.5681810027734262
original_GRU_234d,3,LightGBM,0.849904714506565,2.2603620717280264,1.6693602319829604
original_GRU_234d,3,ExtraTrees,0.8436572977706627,2.3069240293099287,1.6832818362334787
original_GRU_234d,3,RandomForest,0.8446384420380176,2.299673970532937,1.715645866797939
