feature_set,fold,model,r2,rmse,mae
Baseline (106d),0,LightGBM,0.6863299606039843,3.2070967608732364,2.3232951632840395
Baseline (106d),0,ExtraTrees,0.6589520401997317,3.3441309237246934,2.4241325687119937
Baseline (106d),1,LightGBM,0.7155167581470017,3.1482163676944337,2.3157457621354047
Baseline (106d),1,ExtraTrees,0.6873757253385298,3.3002556016604467,2.4645228946551345
Baseline (106d),2,LightGBM,0.6954188834539068,3.211173302258617,2.327156711851961
Baseline (106d),2,ExtraTrees,0.6846267315730469,3.2675684700051564,2.380831296592269
Baseline (106d),3,LightGBM,0.7067516915186512,3.1594555053838174,2.2913523086785688
Baseline (106d),3,ExtraTrees,0.6817575629210597,3.2913459392477424,2.413235903997959
Baseline (106d),4,LightGBM,0.7189258204278581,3.0996293681425895,2.22749776388472
Baseline (106d),4,ExtraTrees,0.6967829553390823,3.2194085750912835,2.332170752949195
+ LSTM (234d),0,LightGBM,0.7968060141647322,2.581255347258689,1.8712869927988887
+ LSTM (234d),0,ExtraTrees,0.7659561806558396,2.7702829702128318,1.9751716981528344
+ LSTM (234d),1,LightGBM,0.8130759428190547,2.551930413108951,1.8454092731908016
+ LSTM (234d),1,ExtraTrees,0.802707406215996,2.6217520699008836,1.9229405076443264
+ LSTM (234d),2,LightGBM,0.8019616301306303,2.589327171226662,1.860851490071161
+ LSTM (234d),2,ExtraTrees,0.8021214134370409,2.5882823869672897,1.886710669975339
+ LSTM (234d),3,LightGBM,0.8027107575634548,2.5914700161012303,1.8624927503182147
+ LSTM (234d),3,ExtraTrees,0.7901673988337283,2.6725815619597895,1.9358868135116698
+ LSTM (234d),4,LightGBM,0.8110991077292042,2.5410680513685313,1.8937230609533904
+ LSTM (234d),4,ExtraTrees,0.7924102777060997,2.663803683855075,1.956203250948614
+ Transformer (234d),0,LightGBM,0.9105340670570485,1.71279107576145,1.1628535351893534
+ Transformer (234d),0,ExtraTrees,0.9050001199740884,1.7649689614680275,1.1877441061433984
+ Transformer (234d),1,LightGBM,0.912216416100043,1.7488110233822163,1.2033950766092183
+ Transformer (234d),1,ExtraTrees,0.9142836511255225,1.7280967770282851,1.1987319435163577
+ Transformer (234d),2,LightGBM,0.892293111644715,1.9095630253946931,1.2788058235500115
+ Transformer (234d),2,ExtraTrees,0.8898257359667876,1.931311543435108,1.2884255140585963
+ Transformer (234d),3,LightGBM,0.9064596894016499,1.784406882048102,1.2093281454205458
+ Transformer (234d),3,ExtraTrees,0.9071772828811544,1.7775491754879762,1.2178709578704883
+ Transformer (234d),4,LightGBM,0.9064420666115716,1.7882968075709693,1.2141103657010759
+ Transformer (234d),4,ExtraTrees,0.9043935052481047,1.8077692263913097,1.230139553593683
+ GRU (234d),0,LightGBM,0.7548638195459912,2.835170957011819,2.1096266623552347
+ GRU (234d),0,ExtraTrees,0.719573033453264,3.032392619828394,2.2539882537026363
+ GRU (234d),1,LightGBM,0.758648709060134,2.899753233461878,2.154236772663017
+ GRU (234d),1,ExtraTrees,0.7350717001586036,3.0380883864217556,2.2888901617012416
+ GRU (234d),2,LightGBM,0.7489443633182281,2.9153939319339495,2.107444124335022
+ GRU (234d),2,ExtraTrees,0.7174824368275616,3.0926799802252307,2.259472184326149
+ GRU (234d),3,LightGBM,0.746967528761249,2.934827732398561,2.154462446673219
+ GRU (234d),3,ExtraTrees,0.7260625025092402,3.0536568180123145,2.287341531360581
+ GRU (234d),4,LightGBM,0.7701858016353835,2.8027716734280204,2.110523644976331
+ GRU (234d),4,ExtraTrees,0.748869756650266,2.929873029621204,2.208851838362357
Joint (490d),0,LightGBM,0.9171444243398355,1.6483005875821743,1.0865348247672175
Joint (490d),0,ExtraTrees,0.9117100500011084,1.7014969673113738,1.1437850285936284
Joint (490d),1,LightGBM,0.9355872513965722,1.4980356341082988,1.0868370132791119
Joint (490d),1,ExtraTrees,0.9289964516815954,1.57280997417076,1.1483659346831387
Joint (490d),2,LightGBM,0.929266649800922,1.5474776006319697,1.1234947587740751
Joint (490d),2,ExtraTrees,0.9246218874998986,1.5974780018397172,1.134088946805013
Joint (490d),3,LightGBM,0.9208353107770196,1.6415731547989212,1.139261545523698
Joint (490d),3,ExtraTrees,0.9181927482549337,1.668746574733615,1.1745297645660973
Joint (490d),4,LightGBM,0.9263687007174317,1.5864651020375553,1.1302919912231726
Joint (490d),4,ExtraTrees,0.9176594219063783,1.6776688740557804,1.1725072230726972
